bib_number,country
1,usa
2,svk
3,svk
4,irl
5,bel
6,ita
11,usa
12,usa
13,aus
14,usa
15,usa
16,usa
17,usa
18,aus
21,aus
22,sui
23,ita
24,sui
25,sui
26,usa
27,usa
28,usa
31,usa
32,den
33,nzl
34,usa
35,ger
36,usa
37,ger
38,sui
41,ita
42,ita
43,ita
44,usa
45,ita
46,usa
47,ita
48,ita
51,slo
52,cze
53,est
54,kaz
55,rus
56,ita
61,rus
62,rus
63,rus
64,rus
65,rus
66,rus
67,rus
68,rus
71,aus
72,aus
73,usa
74,ger
75,usa
76,aus
77,usa
78,usa
81,usa
82,rus
83,fra
84,esp
85,aut
86,sui
87,ita
88,usa
91,can
92,mex
93,usa
94,usa
95,can
96,can
97,can
98,den
101,usa
102,usa
103,ger
104,chn
105,chn
106,aus
107,aus
108,chn
111,usa
112,nzl
113,usa
114,usa
115,usa
116,nzl
117,usa
118,usa
121,usa
122,usa
123,usa
124,usa
125,usa
126,can
127,can
128,usa
131,nzl
132,usa
133,usa
134,usa
135,usa
136,usa
137,nzl
138,usa
141,usa
142,col
143,usa
144,sui
145,usa
146,usa
147,mda
148,usa
151,col
152,col
153,col
154,col
155,col
156,col
157,col
158,col
